Australia,Brazil,China,India,South Africa,United States
29261.34362,80249.038,827164.7125,149138.34,53207.233,466661
27661.55143,79342.693,808332.6457,143275.85,49666.982,449635
26175.45283,76192.719,780257.7085,138083.58,47403.038,426232
25278.8467,72345.36,735653.9437,131973.34,45023.227,402219
24152.30355,69046.916,697144.3043,126505.27,44015.56,386255
22963.5005,66953.193,673518.4068,123504.81,43092.143,376194
22333.4655,65576.868,650563.4243,121271.24,42664.454,372575
22345.05225,65176.518,633866.4368,121089.4,42730.006,371549
23257.35654,64442.584,624525.219,123741.2,43258.103,378980
24962.31474,64814.234,628649.4211,134111.99,44562.049,397445
26695.43001,70444.294,658873.6888,147962.01,45862.791,434324
27469.95791,76651.223,710713.4313,163932.61,48405.32,459665
27016.72801,80314.865,717049.6677,175975.64,50807.189,465463
26363.80677,82367.104,738613.3167,187316.2,51554.544,465541
25447.55411,82273.141,764936.626,191674.27,51322.371,464958
25336.06558,80683.611,787080.4132,189867.54,51591.514,462748
25365.48908,83331.781,763572.3454,186345.03,50732.282,460710
26288.91972,84879.017,740505.415,180628.46,50187.892,460114
28235.19171,84470.316,748611.4941,177461.64,49261.708,459933
29875.9545,82770.872,758387.4487,176374.14,48959.593,460722
31716.92643,77001.313,776367.9121,173359.66,49244.637,470185
33695.71236,74739.272,817704.0357,168491.86,50027.731,490213
34369.55189,77903.622,846227.8726,167963.62,51035.384,503333
33770.67133,78310.192,857394.6059,166650.58,52999.265,501045
32331.80952,79405.636,833705.1241,159063.31,51397.926,492632
30420.24514,78041.037,814164.9134,152331.5,47868.429,476281
28456.3476,74777.804,784580.8297,146304.29,45244.736,453443
27235.12077,70880.283,737246.7045,139306.08,43125.769,432389
25823.34783,67796.272,712101.8695,133734.15,41393.334,417430
24488.03092,65598.441,686406.313,130053.48,40684.245,409508
23608.72208,64463.134,661542.9377,128068.15,40239.672,406099
23606.48016,64060.507,640847.3179,127779.07,40021.067,407437
24381.99101,63715.338,625525.0215,131210.52,40589.022,415130
26000.24156,63774.106,620310.1797,140901.42,41250.062,435479
27557.78443,68683.725,634073.3305,154284.41,42908.281,472210
28148.85549,73634.448,656648.3359,170153.01,45706.656,496047
27890.87869,75730.033,699092.4741,182209.58,48152.011,499489
27335.86227,77149.865,768184.3106,191499.03,49590.453,495555
26849.93958,76582.295,810387.3363,194444.13,49643.661,491285
27629.6967,74836.864,839722.6861,191688.78,49740.632,483860
28665.07596,77177.942,823716.5486,189229.55,49543.84,476028
29633.08907,78675.058,828521.2693,184214.49,48645.333,470780
31432.89617,78247.269,841969.3772,180723.93,47910.265,468004
33422.78584,76137.65,844993.7123,178461.59,47694.611,468438
35589.23869,71887.045,843291.607,174770.37,48291.92,476260
37225.71863,70307.222,840169.93,170013.23,49004.876,494028
37069.40217,73362.944,806823.952,171188.42,49956.11,502338
34946.24614,73944.905,792692.3953,169495.52,52218.915,495971
33295.48788,74177.538,814493.4495,161838.22,51414.64,485726
31221.35034,72362.686,821242.8346,154893.95,47345.662,471612
29303.717,69375.549,802973.3254,148728.6,44251.914,452110
27976.73209,65813.113,760699.5066,142243.75,42052.156,432343
26415.19049,62759.7,712494.8784,137160.01,41584.684,416903
24923.40657,60522.283,687058.1456,133373.84,41149.509,405674
24027.31144,59197.823,662680.8616,131293.86,40863.204,399813
23727.84515,58657.587,642339.1544,131379.02,41136.001,396273
24410.20204,57798.124,627293.3711,134300.47,42361.727,397843
25893.65925,56338.435,622227.3975,143616.11,44823.603,404400
27496.58372,58470.396,636006.8832,158062.6,47139.106,417865
27851.94927,61263.978,658509.8563,174674.6,50055.261,433824
27512.33191,63447.127,700461.6055,185802.33,52813.362,446926
26243.942,64950.905,768378.5923,194827.82,53962.651,455245
25699.72373,65348.367,809852.6585,197853.72,54461.534,458798
25361.16941,64883.404,838471.3689,195454.67,54654.921,457464
25955.60784,64977.819,822693.1241,191364.21,54251.265,453167
27108.36924,65162.843,827521.4135,186151.4,53745.099,448570
28214.45687,65230.101,840628.8043,183913.36,53850.314,444810
29848.86706,64938.702,843608.4397,181986.35,54298.957,443993
31199.96208,65198.797,841935.6076,179294.74,54631.517,449890
32227.15664,68253.107,839037.8427,172414.9,54516.173,465561
32209.13733,72351.004,806228.0042,173537.41,54874.9,474279
31886.21834,72153.297,792391.9132,171288.87,56698.049,468703
30760.38321,70085.443,813935.4102,164542.99,54472.665,460201
29057.71962,67420.315,820381.6521,158481.36,50650.916,448378
27342.95172,64602.162,802191.6798,151527.14,47339.095,434308
26340.44975,61755.85,760438.1483,145580.66,44966.391,419644
25130.82642,59161.72,710799.8295,139234.3,43501.345,405704
23722.96141,57216.752,685583.3248,135638.77,42870.948,398081
22799.46757,55996.166,661550.9696,133449.61,42499.913,394073
22708.3894,55207.072,641511.5196,132692.74,42583.769,393103
23533.08848,53346.407,626703.7213,135884.84,43910.037,396076
24993.40708,50892.829,621723.592,144963.3,45692.083,402189
26397.26177,51591.88,635263.8772,159308.08,47326.285,415796
26312.87131,53096.429,657484.777,175638.64,49096.446,431341
25154.67011,54548.103,699265.579,186255.17,51252.691,445009
23807.59709,55877.824,766336.3308,193821.52,52005.238,451046
22923.96773,56839.025,807152.4344,195072.58,52348.132,448772
22554.53753,57404.469,835251.8677,192192.94,52509.074,444387
22476.03367,57688.593,819255.8378,187690.77,52270.148,439651
22744.9376,58168.832,823889.3212,183505.98,51454.114,436045
23629.31003,58473.937,837013.2096,181672.34,51170.516,433842
24822.01818,59357.474,839958.8921,179866.3,51983.968,436584
27095.05943,60729.29,838354.9781,177342.44,52388.942,447855
29317.85374,64242.002,835565.235,172956.15,52267.181,471886
30206.22761,68423.023,802976.6521,174150.24,52466.905,490730
30459.93039,69689.976,789433.2371,172461.24,54831.397,492281
29717.36131,69458.28,810600.7485,164004.24,53376.936,488250
28419.29575,68438.206,816790.9174,157228.51,49481.067,478236
27062.50702,65798.046,798906.4912,151654.08,45914.647,463055
26188.18599,62862.3,757973.1284,145314.24,43344.972,447242
25054.59133,60657.416,707328.2193,138959.04,42682.527,438187
23709.30228,59003.601,682394.3842,134888.36,42160.764,434534
22935.69629,57993.067,658649.4545,132227.03,41947.228,433621
22872.72273,57968.46,638936.2039,131647.98,42116.505,436004
23604.23343,58183.213,624325.9334,134563.41,43437.208,445150
25232.38866,59136.129,619366.629,143373.17,45363.427,466532
26784.66837,64628.182,632654.1465,158178.05,47311.089,496403
26910.04843,70357.918,654536.7465,175254.02,49508.974,520902
